Player Name,Rating,Position,Owner,Purchase Price,Status
Erling Haaland,91,ST,Aditya,38,Sold
Rodri,91,CDM,Aditya,6,Sold
Mohamed Salah,89,RW,Aditya,4,Sold
Yann Sommer,87,GK,Aditya,4.5,Sold
Ter Stegen,89,GK,Aditya,3,Sold
Joao Cancelo,87,RB,Aditya,3,Sold
Jeremie Frimpong,84,RB,Aditya,0.5,Sold
Pervis Estupinan,80,LB,Aditya,0.5,Sold
Alex Grimaldo,82,LB,Aditya,1,Sold
Alessandro Bastoni,87,CB,Aditya,8,Sold
Dayot Upamecano,82,CB,Aditya,1.5,Sold
Declan Rice,87,CDM,Aditya,2,Sold
Federico Valverde,88,CM,Aditya,6,Sold
Pedri,83,CM,Aditya,3,Sold
Gavi,83,CM,Aditya,2.5,Sold
Florian Wirtz,88,CAM,Aditya,1,Sold
Brahim Diaz,82,CAM,Aditya,2,Sold
Khvicha Kvaratskhelia,85,LW,Aditya,1.5,Sold
Antony,58,RW,Aditya,0.5,Sold
Moises Caicedo,82,CDM,Aditya,0.5,Sold
Lucas Hernandez,83,CB,Aditya,2,Sold
Benjamin Pavard,84,CB,Aditya,2,Sold
David Alaba,85,CB,Aditya,5,Sold
Lorenzo Pellegrini,83,CAM,Aditya,2,Sold
Harry Kane,90,ST,AgentTrigger,38,Sold
Luka Modric,86,CM,AgentTrigger,3,Sold
Thibaut Courtois,89,GK,AgentTrigger,7,Sold
Alisson,89,GK,AgentTrigger,9,Sold
Jordi Alba,80,LB,AgentTrigger,3,Sold
Ben Chilwell,79,LB,AgentTrigger,0.5,Sold
Antonio Rudiger,88,CB,AgentTrigger,12,Sold
Eder Militao,85,CB,AgentTrigger,3.5,Sold
Milan Skriniar,81,CB,AgentTrigger,1,Sold
Stefan de Vrij,83,CB,AgentTrigger,3.5,Sold
Casemiro,89,CDM,AgentTrigger,1.5,Sold
Bruno Fernandes,87,CAM,AgentTrigger,2,Sold
Phil Foden,88,CAM,AgentTrigger,1.5,Sold
Leon Goretzka,83,CM,AgentTrigger,0.5,Sold
Marcus Rashford,81,LW,AgentTrigger,1,Sold
Leroy Sane,85,LW,AgentTrigger,5,Sold
Jack Grealish,84,LW,AgentTrigger,1.5,Sold
Neymar,87,LW,AgentTrigger,3,Sold
Sergio Ramos,78,CB,AgentTrigger,2.5,Sold
Jesus Navas,83,RB,AgentTrigger,0.5,Sold
Sergio Busquets,81,CDM,AgentTrigger,0.5,Sold
Kylian Mbappe,91,ST,BeastModel,42.5,Sold
Vinicius Junior,90,LW,BeastModel,8,Sold
Gianluigi Donnarumma,89,GK,BeastModel,9,Sold
Aaron Ramsdale,81,GK,BeastModel,1,Sold
Kieran Trippier,83,RB,BeastModel,0.5,Sold
Ferland Mendy,84,LB,BeastModel,0.5,Sold
Luke Shaw,82,LB,BeastModel,1,Sold
Marquinhos,87,CB,BeastModel,12,Sold
Lisandro Martinez,84,CB,BeastModel,1,Sold
Ibrahima Konate,83,CB,BeastModel,2,Sold
Martin Odegaard,89,CAM,BeastModel,2,Sold
Bernardo Silva,88,CAM,BeastModel,2.5,Sold
Nicolo Barella,87,CM,BeastModel,3.5,Sold
Frenkie de Jong,87,CM,BeastModel,3.5,Sold
Riyad Mahrez,85,RW,BeastModel,0.5,Sold
Jarrod Bowen,82,RW,BeastModel,4,Sold
Dani Carvajal,85,RB,BeastModel,1,Sold
Francesco Acerbi,84,CB,BeastModel,2.5,Sold
Federico Dimarco,84,LB,BeastModel,1,Sold
Denis Zakaria,79,CDM,BeastModel,0.5,Sold
Mikel Merino,85,CM,BeastModel,1,Sold
Ismael Bennacer,83,CM,BeastModel,0.5,Sold
Kevin De Bruyne,90,CAM,Debraj,4.5,Sold
Jude Bellingham,90,CM,Debraj,7,Sold
Ederson,88,GK,Debraj,6,Sold
Emi Martinez,84,GK,Debraj,0.5,Sold
Achraf Hakimi,84,RB,Debraj,3.5,Sold
Pedro Porro,82,RB,Debraj,0.5,Sold
Theo Hernandez,87,LB,Debraj,4,Sold
Alphonso Davies,82,LB,Debraj,3,Sold
Raphael Varane,82,CB,Debraj,3.5,Sold
